,SERPINA3,PMEL,DCT,IFITM1,APOD,A2M,IFI27,APOC2,RGS1,SPP1,CAPG,TM4SF1,TYR,CTSK,ANXA1,MIA,HSPA1A,CRYAB,GDF15,CAPN3,TSC22D3,FN1,DUSP1,HSPA1B,QPCT,APOE,EGR1,MT1X,S100A4,SERPINE2,NNMT,MLANA,FOS,CTSL1,MCAM,LHFPL3-AS1,APOC1,DDIT3,CRIP2,MT1E,TNFRSF12A,PRKCDBP,IER3,TMSB4X,S100A16,SELM,IGFBP7,LOXL4,NSG1,SLC20A1,MYC,CD74,BIRC7,SLC26A2,LOXL3,PLTP,RAB38,RCAN1,PLEKHB1,group
Cy81_FNA_CD45_B01_S301_comb,7.9262,0.0,0.0,7.2682,4.295,6.3873,0.0,0.0,0.0,4.0053,0.0,6.0876,0.0,0.0,5.0647,4.3611,4.7913,5.8457,0.0,0.0,0.6397,8.5959,6.3038,3.864,3.5722,4.8122,5.157,6.4622,4.3547,8.327,6.9472,1.8488,4.8679,2.6503,0.0,0.0,1.7874,3.9619,3.9646,0.0,0.0,6.6622,2.8918,0.0,6.0251,0.0,0.0,4.7817,0.0,7.4108,0.0,0.0,0.0,7.3307,0.0,5.6528,4.2124,7.6675,6.2861,1.0
Cy80_II_CD45_B07_S883_comb,7.4872,9.2967,0.0,6.899,8.7769,0.0,6.0101,2.6613,2.9121,0.0,7.7331,5.6527,6.0496,3.5826,5.7382,5.8392,3.8309,3.2456,0.0,5.8628,0.0,1.9701,5.3565,0.0,0.0,0.0,1.0909,3.5425,4.3919999999999995,8.007,4.2814,3.5572,6.5036,4.7457,0.0,4.9719,0.0,2.8556,0.0,2.3377,0.0,4.7156,1.3156,0.0,3.9058,7.1824,4.486000000000001,3.2759,3.0961,5.7794,5.6246,0.0,3.659,4.048,4.6347,5.377999999999999,5.4855,4.7102,4.0025,1.0
Cy81_Bulk_CD45_B10_S118_comb,6.3451,0.0,0.9876799999999999,7.5923,0.0,5.3911,0.0,0.0,0.0,3.9163,2.2038,5.018,0.0,5.0802,4.8462,6.3885,6.6428,5.6091,3.674,0.0,3.9483,6.4587,6.2087,6.547000000000001,1.6397,2.6826,4.1016,4.468999999999999,0.0,7.6138,3.4613,0.80405,5.6272,3.5978,0.19409,0.0,0.0,0.0,5.1037,2.96,0.0,6.9909,5.0633,4.5621,4.1843,0.0,2.6754,3.7361,0.0,4.765,0.0,0.0,0.0,4.5093,4.5848,4.0808,3.0842,5.4624,3.9684,1.0
Cy71_CD45_B05_S497_comb,0.0,7.5117,3.7673,4.4787,0.0,2.8398,5.6004,3.5185,0.0,2.5573,2.7429,0.0,6.227,4.0975,6.9912,0.0,0.0,0.0,7.0288,6.8708,4.7602,0.0,6.4466,0.0,0.0,6.9107,8.0878,0.0,0.0,6.2101,0.0,5.4697,5.9437,4.3022,2.8998,0.0,5.1528,3.2299,0.0,0.0,5.6892,0.0,0.0,4.6746,4.4539,0.0,0.0,0.0,2.7163,0.0,7.9599,0.0,5.167999999999999,1.8675,0.0,0.0,0.0,0.0,0.0,1.0
Cy80_II_CD45_C09_S897_comb,4.9392,8.2608,0.0,5.4196,6.2662,3.3672,3.4558,2.8313,3.5213,0.0,7.1891,0.0,6.4841,5.9303,8.2046,5.367000000000001,4.1098,4.3606,7.5956,4.7682,6.4476,4.5951,0.0,3.5192,3.4871,0.0,4.1439,5.295,5.8407,11.089,6.7317,4.6894,4.4371,8.632,0.0,0.0,1.3403,4.2669999999999995,4.0992,5.9209,7.308,3.3716,5.0293,7.5172,2.1352,7.851,0.61542,0.0,0.0,3.6774,0.0,0.0,5.9368,0.096262,0.0,6.5438,0.0,6.7593,3.1184,1.0
Cy81_FNA_CD45_E05_S341_comb,7.2631,0.0,0.0,8.304,6.586,6.8189,0.0,0.0,0.0,6.4964,0.0,4.4557,0.0,3.4247,6.0068,5.835,4.4234,6.2915,1.06,0.0,2.6173,9.3952,4.0396,3.491,5.1353,0.0,5.0116,4.6433,2.7811,8.7413,5.2802,0.0,3.3559,4.5702,0.0,0.0,2.1243,4.7059,3.6285,0.0,4.1436,5.1985,5.0636,0.0,6.2062,0.0,1.8131,4.0588,0.0,5.9495,0.0,0.0,0.0,5.2415,4.9096,5.2864,0.0,5.0857,5.6065,1.0
Cy81_Bulk_CD45_E10_S154_comb,4.8711,0.0,0.0,6.5669,1.0144,2.4962,0.0,0.0,0.0,5.4622,0.0,4.9751,0.0,0.38736,6.7152,7.2549,6.0528,5.8888,0.0,0.0,0.0,5.1227,7.9973,4.0292,0.0,0.0,7.4475,4.8962,0.0,7.0374,0.0,1.1063,7.0463,2.1821,0.042644,0.0,0.0,4.8209,5.7645,3.3125,0.0,6.9757,5.6663,6.2626,4.3587,0.0,0.0,2.6316,0.0,4.5972,0.0,2.7405,0.0,4.6794,6.8549,0.0,4.1718,5.1042,4.5241,1.0
Cy80_II_CD45_H07_S955_comb,7.2381,10.162,0.0,6.5299,9.6628,0.92979,4.8164,0.0,0.0,0.0,7.3545,2.9809,6.563,6.555,6.6911,7.4972,0.0,5.4877,0.0,6.901,5.1003,0.0,7.0696,0.0,0.0,0.0,5.457999999999999,5.5056,6.7795,9.3929,6.4318,6.8682,7.0767,0.0,0.0,5.1933,0.0,0.0,0.0,5.4909,0.0,0.0,0.0,4.434,0.0,5.8759,4.641,4.1686,0.63227,6.0792,4.3911,0.0,4.7238,2.8484,5.2231,4.669,6.5188,4.606,6.2375,1.0
Cy81_FNA_CD45_D09_S333_comb,5.9749,0.0,0.0,7.3557,6.2231,7.856,0.0,0.0,0.0,7.4761,0.0,6.7024,0.0,4.0727,5.5037,6.0157,3.1763,5.5156,0.0,0.0,0.0,8.6515,4.8422,0.0,2.1667,0.0,0.0,3.2768,0.0,9.3798,5.8822,0.71017,3.8255,5.8589,0.0,0.0,0.0,4.2605,0.0,0.0,0.0,3.4411,0.0,0.0,6.6349,4.2866,0.0,0.0,0.0,5.8146,0.0,0.0,0.0,0.0,4.507,5.669,0.0,4.9603,4.3919999999999995,1.0
Cy71_CD45_E12_S540_comb,0.0,5.6999,2.0854,7.6715,5.2939,0.0,8.4645,0.0,0.0,0.0,0.0,0.0,5.7574,0.0,6.2862,0.0,0.0,4.8276,5.3231,8.2281,3.8077,0.0,4.9165,0.0,0.0,5.4619,6.5451,0.0,2.9214,5.7528,0.0,7.1126,8.218,5.6099,3.7703,0.0,4.3949,5.0168,4.864,0.0,0.0,0.0,0.0,2.9653,0.0,0.0,0.0,4.1712,3.0873,4.5239,5.4422,0.0,6.686,0.36849,0.0,2.8844,4.1228,5.3644,5.4224,1.0
Cy80_II_CD45_H09_S957_comb,0.0,10.282,3.2101,5.1608,8.1471,5.1967,6.1258,4.3008,5.9916,0.0,8.8636,3.6972,6.7438,5.2121,6.8688,7.9959,0.0,4.7566,3.4448,5.1087,2.9275,0.0,3.6765,2.7275,0.0,0.87892,5.5553,4.2531,6.152,6.6109,0.6906399999999999,5.4295,3.0093,0.0,0.0,1.6392,2.5833,3.1408,0.0,5.7041,3.9622,6.0187,3.2851,4.9898,0.0,4.9830000000000005,3.2941,3.8851,5.385,3.69,4.9554,1.8524,0.82863,3.3876,5.0902,2.8494,5.8498,0.50284,3.6821,1.0
Cy80_II_CD45_B11_S887_comb,4.6930000000000005,9.9168,0.0,4.6971,7.7885,3.6021,4.365,0.0,0.0,0.0,6.2388,0.0,6.8313,4.7348,7.4368,7.105,0.0,6.6602,2.4808,6.9346,0.0,4.8978,0.0,0.0,0.0,0.0,0.0,2.6742,6.9302,10.493,4.4645,5.3859,4.2192,3.6432,0.0,0.0,0.0,4.7794,0.0,1.6022,4.8529,5.3036,0.0,4.9484,0.0,7.5591,1.4668,0.0,1.8903,1.6149,1.3161,1.4947,4.5672,1.827,4.6733,5.531000000000001,1.797,5.9312,4.1476,1.0
Cy81_Bulk_CD45_E04_S148_comb,6.3254,0.0,0.0,6.5116,0.0,5.818,0.0,0.0,0.0,5.5608,4.0979,5.5537,0.0,4.9831,3.9133,6.1073,3.8361,6.8538,2.9618,0.0,6.291,6.4441,7.4562,2.7615,2.5023,0.0,7.0627,6.829,3.4565,7.3825,0.0,0.8599700000000001,6.6146,5.0376,0.35276,0.0,0.0,6.0706,4.8426,2.8223,0.0,5.6346,4.0892,3.3732,3.9604,0.0,0.0,6.4908,0.0,3.4131,0.0,2.9697,0.0,4.1418,5.3087,5.1639,0.0,3.9810000000000003,3.3383,1.0
Cy80_II_CD45_D11_S911_comb,0.0,8.7949,5.2386,6.5217,4.702,0.0,4.8125,4.3011,6.2498,0.0,7.9447,5.377999999999999,7.7166,6.6773,5.0205,6.3054,0.0,5.8352,5.3245,6.222,2.6388,1.7995,5.3874,0.0,4.5745,0.0,7.0978,2.99,4.4366,7.3516,3.5752,6.4565,5.765,0.0,0.0,3.1463,0.0,0.0,0.0,0.0,2.1554,2.7502,3.3823,4.1001,2.4428,5.8802,5.1536,2.7568,5.7348,4.9202,6.3875,0.0,0.0,0.8599700000000001,4.948,3.6832,6.4331,3.5116,4.1125,1.0
Cy71_CD45_E11_S539_comb,0.0,7.9146,5.7808,4.2262,2.8939,0.0,6.2778,0.0,0.0,0.0,0.0,0.0,5.8032,0.0,6.6841,3.7783,0.0,0.0,6.0419,6.7848,5.4516,0.0,0.0,0.0,0.0,4.7122,5.7099,0.0,0.0,4.2408,0.0,6.6156,6.9401,0.0,3.6554,2.8005,5.7196,4.4791,7.0215,0.0,0.0,0.0,0.0,0.0,4.5748,0.0,0.0,0.0,0.0,0.0,7.3108,0.0,0.0,0.12697,0.0,4.0241,0.0,4.2798,5.0439,1.0
Cy81_FNA_CD45_C09_S321_comb,6.608,0.0,0.0,7.8056,5.5947,6.2409,0.0,0.0,0.0,5.8442,2.3499,7.071000000000001,0.0,3.2411,5.7945,6.2716,4.9885,5.5289,0.0,4.0514,1.6107,8.282,6.0584,4.4185,2.8424,3.2421,4.7441,3.7584,4.1431,7.711,3.4308,0.8229299999999999,4.488,4.7499,0.0,0.0,0.0,3.0905,3.7767,0.0,0.0,6.0094,4.9876,0.0,5.9262,1.8404,0.0,3.8332,0.0,6.3653,0.0,3.8778,0.0,6.5161,3.5515,4.989,0.0,7.3715,6.457999999999999,1.0
Cy80_II_CD45_G07_S943_comb,3.5663,9.0137,0.0,4.4564,7.8461,0.0,6.0312,3.4954,4.9434,0.0,7.5717,5.2314,5.2791,4.4457,6.377000000000001,7.6821,1.2558,5.4838,5.1805,3.8855,0.0,0.0,2.9484,0.0,0.0,4.8042,5.0414,5.4373,3.1432,7.2791,0.0,3.877,6.0309,4.7484,2.9998,0.0,0.0,0.0,0.0,6.1809,5.8201,3.8875,4.3818,0.0,0.0,5.6502,5.6798,3.6792,4.4428,5.8131,5.6701,0.0,0.0,1.1473,6.6353,3.4206,4.8836,3.8459,2.129,1.0
Cy71_CD45_G08_S560_comb,0.0,3.8655,0.0,4.6161,0.0,5.5181,6.8487,0.0,0.0,0.0,0.0,0.0,3.9842,0.0,7.5527,0.0,5.3798,0.0,5.3463,6.6531,2.7856,0.0,0.0,3.0086,0.0,0.0,2.8875,0.0,0.0,0.0,0.0,6.1119,5.9622,0.0,4.1321,2.3039,0.0,0.0,7.2387,0.0,5.7282,4.0461,0.0,4.828,5.5259,0.0,2.5140000000000002,0.0,0.0,0.0,7.4655,0.0,4.6959,0.0,1.3829,4.2404,0.0,0.0,3.773,1.0
Cy71_CD45_F06_S546_comb,0.0,3.6541,5.3057,4.2185,4.7845,0.0,7.0746,0.0,0.0,0.0,0.0,0.0,5.7238,0.0,5.2725,0.0,0.0,0.0,0.0,5.9401,0.0,0.0,0.0,0.0,0.0,3.9521,0.0,0.0,0.0,5.952000000000001,0.0,5.8959,0.0,0.0,0.0,2.713,4.0902,0.0,4.8244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.421,0.0,2.3013,0.0,6.6995,0.0,0.0,0.0,0.0,3.7484,0.0,3.4725,5.0539,1.0
Cy81_Bulk_CD45_D01_S133_comb,2.6717,0.0,0.0,6.7151,4.1758,6.3437,0.0,0.0,0.0,6.369,0.0,7.7458,0.0,0.0,4.2967,0.63413,0.0,6.4082,0.0,0.0,7.2664,10.097999999999999,7.4176,0.0,0.0,1.3109,3.3294,9.2869,0.0,8.9059,7.0177,0.29396,5.976,5.69,0.12035,0.0,0.0,0.0,5.4288,0.0,0.0,4.1935,0.0,0.0,6.8621,0.0,0.0,0.0,0.0,7.5322,0.0,0.0,0.0,2.1177,6.0597,3.403,0.0,3.4178,0.0,1.0
Cy81_Bulk_CD45_D10_S142_comb,6.2343,0.0,0.30918,7.3359,3.6066,6.3394,0.0,0.0,0.0,4.5922,0.0,5.4114,0.0,2.9548,5.4915,5.7543,6.3356,6.3112,4.2549,2.6689999999999996,5.7108,7.4175,7.7985,6.3246,3.2496,4.3154,7.0884,6.1407,3.6206,7.2882,6.2923,0.42546000000000006,7.1512,4.4771,1.57,0.0,3.9337,6.6212,5.2784,0.0,1.4244,5.9638,5.2905,4.4352,6.1108,1.8651,0.0,3.9395,0.0,5.5759,0.0,2.0072,0.0,4.6272,6.2189,4.4403,3.1854,6.3874,4.5374,1.0
Cy81_FNA_CD45_C05_S317_comb,6.4253,0.0,0.0,7.5035,3.9855,7.4414,0.0,0.0,0.0,9.6572,0.0,5.9653,0.0,0.0,5.6857,5.7891,0.0,1.3374,0.0,0.0,4.7631,10.395999999999999,9.0009,0.0,0.0,6.5323,4.2251,4.4505,0.0,8.9557,6.4267,0.0,2.8276,3.7985,0.38847,0.0,3.0922,0.0,0.0,0.0,5.9499,5.2282,3.5893,0.0,5.2543,0.0,0.0,0.0,0.0,7.5351,0.0,0.0,0.0,5.1057,5.9212,6.2213,0.0,0.49773999999999996,4.3017,1.0
Cy80_II_CD45_B01_S877_comb,0.0,9.9087,4.7169,4.5494,8.4854,4.0843,2.2363,7.1294,6.4642,0.0,7.9272,0.0,7.1801,6.5459,4.9412,7.8041,0.0,2.9908,0.0,5.4591,0.0,3.1763,0.0,0.0,3.6721,5.62,5.5564,0.0,3.0664,7.9466,0.0,6.8088,0.0,0.0,0.0,4.6673,0.0,0.0,0.0,4.9506,0.0,5.0501,2.8866,4.9975,0.0,6.4573,4.0142,3.7782,5.9577,4.5916,5.6597,2.8104,5.0382,3.4421,4.9830000000000005,5.1007,5.6697,4.425,6.0592,1.0
Cy81_Bulk_CD45_G12_S180_comb,7.1582,0.0,0.0,8.4223,5.0498,6.3948,0.0,0.0,0.0,5.6434,0.0,6.1122,0.0,1.2504,5.0275,5.7995,6.995,7.4994,3.1263,0.0,6.0879,7.7641,8.339,6.0532,3.2526,0.0,7.6125,6.3424,1.7277,8.4206,6.4721,1.4163,7.3167,4.309,0.0,0.0,0.0,5.7783,6.39,2.6893,2.3391,6.3711,5.2114,3.1835,5.3423,0.0,0.0,5.3741,0.0,6.1336,0.0,0.7476,0.0,5.4059,6.1639,3.8191,2.9247,6.7024,5.1167,1.0
Cy81_FNA_CD45_F02_S350_comb,4.3158,0.0,0.0,4.375,3.5612,6.2688,0.0,0.0,0.0,3.4610000000000003,0.0,3.9788,0.0,0.0,6.5342,7.3003,5.8653,7.5628,0.0,0.0,3.5997,4.4101,3.6566,5.1329,5.0866,0.0,6.106,1.5366,0.0,8.0199,0.0,0.0,0.0,7.2092,2.4271,0.0,0.0,4.0748,4.4263,0.0,0.0,6.6924,6.7814,3.7092,5.8986,0.0,0.0,1.3161,0.0,0.0,0.0,0.0,0.0,3.1182,7.0329,5.0725,2.7247,6.7535,4.7975,1.0
Cy80_II_CD45_B09_S885_comb,0.0,9.9726,0.0,3.1749,6.3464,3.1998,3.2027,4.5042,3.8061,0.0,6.6429,0.0,7.4169,4.1083,5.7627,6.9674,0.0,5.3005,1.9222,5.7368,5.0787,0.0,5.8384,0.0,4.0352,4.1737,3.8863,5.7578,3.5691,8.3984,0.0,6.5186,6.1317,4.8773,0.0,2.2458,0.0,3.8249,0.0,3.9723,0.0,4.5769,0.0,0.0,0.0,6.0784,4.12,2.5356,4.3389,3.734,3.2007,2.2708,0.0,0.25701,5.8153,3.6523,6.5165,6.0018,4.7445,1.0
Cy81_FNA_CD45_H12_S384_comb,7.327999999999999,1.1309,0.0,8.0978,6.266,6.6523,0.0,0.0,0.0,6.0292,0.0,5.4513,1.6631,3.0812,5.9784,7.172999999999999,5.0395,7.0433,2.2774,1.4885,3.9947,8.1026,6.0017,4.4205,3.1630000000000003,2.2984,3.6955,6.6638,3.4631,8.7965,6.1583,0.0,4.3693,4.8102,0.7337899999999999,0.0,3.6296,4.7532,4.0254,4.4154,2.9627,5.5946,4.9412,0.0,5.9567,0.0,1.6875,3.5623,0.0,6.736000000000001,0.0,0.0,0.0,5.1418,5.2385,5.4809,0.0,5.8428,5.9013,1.0
Cy81_Bulk_CD45_E08_S152_comb,5.2529,0.0,0.0,3.1848,6.1515,6.2555,0.0,0.0,0.0,5.1218,1.9415,5.5986,0.43082,2.4322,4.9758,7.1399,4.5537,6.7078,3.4883,0.0,3.5077,5.9829,7.8463,0.0,4.1739999999999995,0.0,6.4577,4.0406,0.0,8.0308,0.0,0.64985,4.7152,4.3041,0.0,0.0,0.0,0.0,5.1466,3.2104,0.0,7.2028,4.1492,2.6093,5.3603,0.0,0.0,6.3047,0.0,5.3776,0.0,0.0,0.0,3.6727,7.787000000000001,4.2269,3.9593,4.8903,3.8993,1.0
Cy80_II_CD45_G09_S945_comb,0.0,7.0267,3.4189,0.0,0.0,0.0,4.0979,0.0,8.2978,0.0,5.1371,0.0,7.4019,0.0,7.4604,5.1591,0.0,5.5291,8.3044,3.8802,0.0,3.9776,0.0,0.0,0.0,0.0,1.9723,5.1724,0.0,9.6654,0.0,3.7629,6.9183,3.2937,0.60597,1.2887,0.0,5.2588,0.0,3.8222,6.5026,2.7427,5.7553,3.8541,4.2757,6.5134,0.0,2.4571,0.0,2.4152,5.4627,0.0,0.0,0.0,4.615,4.2431,5.4633,0.0,0.0,1.0
Cy80_II_CD45_D09_S909_comb,5.4939,7.8974,2.9598,8.4949,7.6349,4.6476,5.9253,0.0,5.8336,0.0,5.7191,0.0,8.5982,5.9855,6.1596,5.0634,4.0875,7.0385,0.0,3.7709,5.0283,0.40054,4.6729,0.0,0.0,4.5065,3.8184,6.2991,3.6746,8.1488,4.3417,0.0,6.3545,3.24,1.8852,3.59,0.0,0.0,0.0,3.4688,0.0,5.1911,0.0,4.9542,0.0,6.7912,4.4191,0.0,3.5792,3.3909,4.8281,0.0,0.0,2.9833,3.8589,5.4991,5.2938,0.0,5.5437,1.0
Cy71_CD45_D11_S527_comb,0.0,0.0,0.0,4.0684,4.5039,4.5289,6.9817,0.0,0.0,3.8151,0.0,0.0,5.6406,0.0,5.9019,0.0,0.0,0.0,6.864,3.2737,3.1247,0.0,6.3339,3.1755,0.0,4.773,7.6494,2.8963,0.0,5.6668,0.0,6.1085,7.4905,5.4429,3.52,3.4478,3.2035,4.9747,3.1514,0.0,0.0,0.0,0.0,2.7403,0.0,0.0,0.0,2.4885,0.0,2.3408,7.7019,0.0,5.6234,2.5595,0.0,5.7889,0.0,3.7762,3.6982,1.0
Cy81_Bulk_CD45_B09_S117_comb,7.39,6.1489,4.2871,7.1054,4.2415,6.6805,5.153,0.0,1.8286,5.5588,4.6491,7.0903,1.3254,4.3087,7.6589,6.1929,6.0107,6.6416,3.2313,2.158,6.7898,7.4479,8.9081,4.9998,5.2089,3.5775,7.5612,6.2106,3.7458,7.653,6.2860000000000005,3.9129,6.8723,3.9438,0.24731999999999998,0.0,3.4711,7.292000000000001,4.2823,0.0,0.0,6.724,4.1308,5.7471,6.667000000000001,2.7214,0.0,3.4592,0.0,6.2274,0.0,0.68975,0.0,7.2687,5.2442,2.9662,1.537,7.994,4.6655,1.0
Cy71_CD45_F11_S551_comb,0.0,0.0,0.0,5.3853,4.5079,1.6857,7.9006,0.0,0.0,0.0,0.0,0.0,2.1117,0.0,7.4692,4.8869,0.0,0.0,0.0,6.6789,0.0,0.0,0.0,0.0,0.0,0.0,0.41358999999999996,0.0,0.0,2.8665,0.0,6.2049,0.0,1.2857,0.20914000000000002,0.0,0.0,0.0,0.0,0.0,0.0,4.9893,0.0,0.0,4.561,0.0,0.0,3.8686,0.0,0.0,0.0,0.44361000000000006,0.0,0.088142,3.1630000000000003,3.2137,5.0757,0.29983000000000004,3.8442,1.0
Cy81_FNA_CD45_H10_S382_comb,8.1597,0.0,0.0,9.5751,5.5629,6.8496,0.0,0.0,0.0,0.0,0.0,6.5699,0.0,4.6142,5.5567,6.2128,0.0,5.008,0.0,0.0,4.5551,7.0727,0.0,0.0,4.7833,0.0,4.9014,7.5972,0.0,8.2684,6.3763,0.0,0.0,0.0,0.14274,0.0,4.1125,0.0,4.9137,0.0,0.0,6.242000000000001,6.9045,1.177,2.0569,0.0,4.4605,3.6951,0.0,6.8006,0.0,0.0,0.0,5.4465,4.7075,3.9203,0.0,7.1462,6.6332,1.0
Cy80_II_CD45_B02_S878_comb,0.0,9.4557,0.0,8.0925,8.4624,0.0,6.1109,4.7556,0.0,0.0,7.6711,4.2572,7.8521,5.2527,4.1479,7.0776,0.0,3.989,0.0,6.6866,3.7076,0.30451,0.0,0.0,0.0,0.0,0.0,5.1437,6.8853,7.3204,4.6335,6.0761,2.3386,4.4682,0.0,1.8448,0.0,0.0,0.0,5.8013,0.0,0.0,0.0,4.7561,0.0,6.2961,4.3784,2.8408,4.6346,4.3831,2.2293,3.0068,4.955,2.9953,1.7194,5.0679,4.0864,0.0,4.0659,1.0
Cy81_FNA_CD45_B11_S311_comb,6.5461,0.0,0.0,6.8362,4.2887,3.7422,0.0,0.0,0.0,5.7725,0.0,7.265,0.0,0.0,5.5005,6.0428,5.8461,5.8201,0.0,4.4313,0.0,7.8226,4.3006,4.1676,4.916,0.0,0.0,7.4711,2.3007,8.5766,0.0,0.6653899999999999,0.0,0.0,0.0,0.0,0.0,5.0268,4.4895,4.3862,0.0,3.5383,3.7447,0.0,4.8719,0.0,4.5708,4.332,0.0,5.235,0.0,0.0,0.0,5.0263,0.0,5.3044,1.5059,5.8598,5.1143,1.0
Cy81_Bulk_CD45_B12_S120_comb,0.0,0.0,0.0,6.4232,3.213,4.8295,0.0,0.0,0.0,2.9899,0.0,4.8261,0.0,2.7018,3.2288,6.9719,5.4293,7.1921,0.0,4.6082,1.5366,4.7936,7.9922,0.0,3.4717,0.0,7.6883,3.7491,3.1359,7.781000000000001,1.7604,0.20414000000000002,7.7651,3.6976,0.16092,0.0,0.0,6.5212,4.6269,0.0,0.0,6.4095,0.0,4.1818,3.5387,0.0,0.0,6.5646,0.0,3.8826,0.0,0.0,0.0,3.7901,6.2583,4.2176,3.9328,2.7122,5.169,1.0
Cy71_CD45_A10_S490_comb,0.0,7.6247,4.9313,3.167,1.7689,0.0,6.5617,0.0,0.0,0.0,0.0,0.0,4.9751,0.0,5.4299,0.0,0.0,0.0,0.0,7.5275,0.0,1.3311,6.9249,0.0,0.0,4.8368,7.1962,0.0,0.0,4.9033,0.0,7.1416,7.6766,1.4324,4.6798,0.0,0.0,4.0223,6.7305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0412,0.0,0.0,0.0,7.8595,0.0,0.0,0.0,1.4082,0.0,0.0,6.0663,4.5185,1.0
Cy80_II_CD45_F12_S936_comb,7.7926,8.8316,0.0,6.2467,8.3971,6.6516,5.3764,4.8511,4.7257,0.7621399999999999,9.0015,7.4681,7.3172,6.7965,6.7603,7.0589,5.216,6.1663,5.0793,6.2213,3.5288,4.3922,3.0185,4.4239999999999995,0.0,5.6885,1.1935,2.8791,6.7996,8.9219,6.037999999999999,5.0927,6.2197,5.4198,0.0,4.9924,4.0964,1.4906,0.0,4.6369,5.6487,3.8607,6.8958,4.1333,4.9644,7.6577,6.053,3.1638,4.3391,8.0869,3.7075,2.1741,4.7305,1.7866,6.8077,4.4368,5.5955,3.6843,3.9796,1.0
Cy80_II_CD45_B06_S882_comb,4.9527,8.0751,0.69421,5.6898,8.8164,7.1089,5.4706,4.4729,7.9523,0.0,8.0994,4.8193,7.9142,6.3543,5.6702,6.1143,2.7403,5.5257,5.8424,5.8556,5.152,0.43296,3.1299,2.6311,0.0,3.2833,7.6302,5.1338,0.0,8.3947,5.7327,7.0575,5.599,5.0969,0.0,0.0,0.0,4.375,0.0,5.5347,4.1949,4.0694,3.8089,0.0,0.0,6.2357,4.8432,4.5825,5.6122,5.1815,5.9981,1.0841,4.5295,2.6796,4.8398,5.6301,4.7464,6.5093,4.0509,1.0
Cy71_CD45_F10_S550_comb,0.0,0.0,3.1587,6.3455,4.1606,0.0,6.8464,0.0,0.0,0.0,0.0,0.0,5.4769,0.0,4.4402,0.0,0.0,0.0,0.0,6.5766,0.0,0.0,4.538,0.0,0.0,4.5212,3.9655,0.0,0.0,4.2203,0.0,5.7107,5.6736,0.0,0.0,0.0,6.3036,5.2905,5.4078,0.0,0.0,0.0,0.0,0.0,3.9722,0.0,3.5552,0.0,0.0,3.2793,6.0903,0.0,0.0,0.0,0.0,0.98039,0.0,4.761,2.763,1.0
Cy71_CD45_D09_S525_comb,0.0,9.0303,8.6871,6.9435,6.103,0.0,7.5505,0.0,1.9358,0.0,0.0,0.0,5.362,0.0,4.622,0.0,0.61353,0.0,0.0,8.4061,1.9957,0.0,0.0,0.0,0.0,5.8786,6.705,0.0,0.0,0.0,0.0,7.3964,6.9514,5.0561,0.47923000000000004,0.0,2.9254,6.2144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3187,3.9731,5.5289,0.0,6.5639,0.0,0.0,5.103,0.0,4.9302,4.0382,1.0
Cy80_II_CD45_F07_S931_comb,3.9505,10.163,0.0,5.1947,8.5109,3.8905,5.8063,2.7403,5.9123,0.0,9.1384,0.0,6.5727,4.9755,3.5912,6.5849,0.0,4.2578,4.4722,7.1814,4.2882,0.0,6.2948,0.0,0.0,4.2679,3.2161,6.5771,7.0739,7.3006,3.5769,5.8098,5.7620000000000005,4.673,0.0,6.0873,0.0,0.0,2.1564,5.7304,0.0,4.0268,0.0,3.4746,3.0714,5.8683,4.2034,4.4418,4.1352,4.9628,6.1129999999999995,4.1538,4.4666,2.8396,4.5978,4.5266,5.1422,5.1415,3.8206,1.0
Cy80_II_CD45_B12_S888_comb,0.0,11.048,3.7058,6.6609,6.8105,0.0,0.0,3.3771,1.5049,0.0,8.2244,0.0,8.2034,5.7081,0.0,5.1321,0.0,6.626,0.0,7.0248,0.0,0.0,5.7072,0.0,3.9979,4.531000000000001,0.0,0.0,3.1816,7.3274,3.5297,6.5994,4.4236,2.7506,0.0,2.3688,2.0721,4.2392,0.0,3.9382,4.3346,0.0,0.0,0.0,0.0,6.867000000000001,4.1076,3.931,2.4185,0.0,1.0447,0.0,3.4903,0.20789000000000002,2.7201,3.9794,5.9493,0.0,3.5445,1.0
Cy80_II_CD45_A09_S873_comb,0.0,9.5025,1.5563,5.8612,6.3828,0.0,6.0245,5.7373,4.6899,0.0,8.4516,0.0,5.73,0.0,5.6845,8.4784,0.0,5.3561,0.0,5.5844,4.0473,1.3528,4.0061,0.0,0.0,7.0137,4.3513,2.7212,0.0,5.657,0.0,5.6887,6.0991,0.0,0.0,0.0,3.6492,0.0,0.0,4.5647,0.0,4.8158,3.992,6.0838,0.0,6.4127,5.9169,4.3028,5.2843,3.514,4.2535,0.0,4.6023,1.5514,6.7302,5.069,0.0,1.3103,3.0985,1.0
