,SERPINA3,PMEL,DCT,IFITM1,APOD,A2M,IFI27,APOC2,RGS1,SPP1,CAPG,TM4SF1,TYR,CTSK,ANXA1,MIA,HSPA1A,CRYAB,GDF15,CAPN3,TSC22D3,FN1,DUSP1,HSPA1B,QPCT,APOE,EGR1,MT1X,S100A4,SERPINE2,NNMT,MLANA,FOS,CTSL1,MCAM,LHFPL3-AS1,APOC1,DDIT3,CRIP2,MT1E,TNFRSF12A,PRKCDBP,IER3,TMSB4X,S100A16,SELM,IGFBP7,LOXL4,NSG1,SLC20A1,MYC,CD74,BIRC7,SLC26A2,LOXL3,PLTP,RAB38,RCAN1,PLEKHB1,group
CY88_5_G12_S756_comb,0.0,11.087,6.2613,0.0,7.9983,0.0,0.0,0.0,0.0,3.1225,0.0,0.0,6.7619,6.9373,0.0,6.9741,0.0,0.0,4.7259,7.2852,0.0,1.0243,0.42223,0.0,8.208,0.0,3.8679,0.0,3.9044,6.5151,0.0,7.7738,7.6691,0.0,2.6045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6192,0.0,0.0,4.2079,0.0,0.45311999999999997,0.0,0.0,4.6258,4.8887,3.1395,1.4568,0.0,5.4537,5.7746,0.67987,2.8379,1.0
CY88_5_C07_S703_comb,0.0,10.141,6.5228,0.0,7.1865,2.6365,0.0,0.0,0.0,6.3876,0.0,0.0,5.8585,5.1924,0.0,4.4676,0.0,0.0,0.0,5.8599,0.0,4.4868,4.1257,0.0,7.4874,3.1709,0.0,0.0,0.0,5.9614,0.0,6.8495,5.7869,4.1702,5.0355,3.6186,1.3098,3.0238,4.9164,0.0,0.0,0.0,3.3391,1.0335,2.6633,0.0,0.0,4.8896,0.0,0.0,3.6045,1.5465,4.9445,0.81229,0.0,0.0,6.1337,0.0,0.0,1.0
CY88_5_H01_S757_comb,0.0,9.8615,4.8021,0.0,9.7226,5.4479,0.0,0.0,5.5869,0.0,0.0,0.0,6.6701,7.5818,0.0,3.2211,0.0,0.0,7.2889,6.0027,0.0,3.8239,2.8162,0.0,6.6684,4.5318,5.5325,3.4447,0.0,6.1538,0.0,6.0865,5.2218,3.6108,6.7289,5.1032,0.0,3.5107,3.0083,0.0,1.751,0.0,4.3802,2.3454,5.0803,2.9279,0.0,5.1301,0.0,1.4038,1.6668,4.8353,5.1726,2.184,0.0,4.2909,5.6548,2.4678,0.0,1.0
CY88_5_E08_S728_comb,0.0,10.392999999999999,7.2275,0.0,8.3856,0.6852699999999999,0.0,0.0,0.0,4.7594,0.0,0.0,6.8902,7.8947,0.0,4.7427,4.6245,0.0,5.9779,3.7060000000000004,0.0,1.121,0.0,0.0,5.3957,2.8709,4.2624,4.4797,0.0,5.4347,0.0,6.7336,6.9627,0.0,5.0675,2.114,0.0,0.0,2.9207,0.0,0.0,0.0,2.8051,3.4735,4.1597,0.0,0.0,2.3989,0.0,1.9822,2.9426,3.513,4.0183,0.0,0.0,3.5429,5.7912,0.0,0.0,1.0
CY88_5_C04_S700_comb,0.0,10.023,5.8717,0.0,8.9262,6.3884,0.0,0.0,0.0,2.3805,0.0,0.0,5.3602,7.0763,0.0,1.1840000000000002,0.0,0.0,6.7265,4.6016,0.0,0.0,4.1906,2.8041,6.0239,4.6957,0.0,0.0,0.0,6.7712,0.0,5.8305,5.1966,4.3371,5.5373,3.3274,0.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,1.7966,2.5627,0.0,4.5028,0.0,0.0,4.2466,0.0,6.0302,2.6168,0.0,4.084,5.4005,0.0,0.0,1.0
CY88_5_C10_S706_comb,0.0,9.5047,4.8705,0.0,6.8144,5.7066,0.0,0.0,0.0,6.4854,0.0,0.0,6.0503,7.7515,0.0,4.3651,3.2585,6.9626,8.3887,6.1405,1.0969,4.1454,0.0,3.1619,6.7186,0.0,5.7184,5.6074,0.0,6.6599,0.0,5.7208,7.5353,3.8691,2.853,3.2732,0.0,3.7319,3.5836,0.0,2.7201,0.0,5.6076,0.0,3.5127,4.7246,0.0,3.3173,0.0,0.0,5.0208,0.0,4.2495,3.3735,0.0,0.0,1.0215,4.4452,0.0,1.0
CY88_3_E06_S630_comb,0.0,10.651,6.0461,0.0,7.2989,6.0147,0.0,0.0,0.0,0.0,0.0,0.0,6.5518,7.0936,0.0,3.3455,2.7069,0.0,7.4574,6.7085,0.0,0.0,3.9189,0.0,7.3186,3.8206,6.5729999999999995,0.0,0.0,5.922999999999999,0.0,5.6799,6.8976,3.1217,6.4583,1.4335,0.0,3.9058,0.0,0.0,3.7027,0.0,3.5529,0.0,0.0,0.0,0.0,3.1646,0.0,0.0,4.1017,5.0203,4.5716,0.27143,0.0,4.2281,4.5484,0.7510399999999999,1.4880000000000002,1.0
CY88_5_H11_S767_comb,0.0,10.847000000000001,6.8392,0.0,7.4565,3.6353,0.0,0.0,0.0,0.0,0.0,0.0,7.1554,8.5293,0.0,5.1827,0.0,0.0,7.1685,6.4568,0.0,2.6365,0.96199,0.0,7.8414,0.5079199999999999,5.5119,1.4319,0.0,4.5616,0.0,6.7537,6.6762,2.4185,5.5861,2.3118,0.0,3.1154,0.0,0.0,0.0,0.0,0.0,0.0,0.55582,2.4883,0.0,0.71458,4.6196,0.0,4.641,2.9321,4.8185,2.8211,0.0,4.2974,5.3766,0.0,0.0,1.0
CY88_5_D01_S709_comb,0.0,10.296,5.3139,0.0,6.8629,3.5685,0.0,0.0,1.8824,0.0,0.0,0.0,6.8873,6.5502,0.0,5.7841,4.3793,0.0,6.9939,5.8273,0.0,5.0377,0.0,1.9819,7.108,0.0,3.7784,0.0,0.0,6.8215,0.0,6.5072,4.5441,0.0,6.721,0.0,0.0,4.9856,6.7725,0.0,6.2667,4.0535,3.1238,0.0,4.8687,3.3208,0.0,0.23143000000000002,0.0,0.12961,0.18395999999999998,0.0,0.0,0.0229,3.0554,5.5225,3.5418,5.5349,0.0,1.0
CY88_3_G04_S652_comb,0.0,9.6936,6.0189,0.0,7.8448,4.7817,0.0,0.0,5.2298,0.0,0.0,0.0,6.6609,7.0521,0.0,4.9961,2.9285,0.0,4.9910000000000005,6.7111,0.0,3.8442,2.9633,3.5556,6.1521,4.4959,5.4195,2.5323,0.0,6.0089999999999995,0.0,6.3388,6.6431,0.0,5.4502,5.8332,0.0,0.0,3.9231,0.0,0.0,0.0,2.2379,0.0,3.7856,2.8217,0.0,3.0817,0.0,0.0,3.6812,4.6326,4.0412,1.8619999999999999,0.0,5.1616,3.6549,2.8402,0.0,1.0
