,HLA-DRA,FOS,HLA-DPA1,DUSP1,GZMA,CCL4,SELL,CD69,NKG7,CST7,LTB,CD74,GZMK,CCL4L1,CCL4L2,CD8A,PRF1,KLRK1,TSC22D3,PIK3IP1,group
cy79-p4-CD45-pos-PD1-pos-D01-S325-comb,0.0,7.1287,6.8455,7.7519,0.0,7.7807,0.0,7.6721,7.5328,8.5218,0.0,7.7186,8.4453,2.9375,2.9375,5.7989,6.6295,6.3689,8.6141,0.0,1.0
cy79-p4-CD45-pos-PD1-pos-H10-S382-comb,0.0,7.6011,0.0,10.24,0.0,9.0829,0.0,8.5589,0.0,6.3502,0.0,6.6492,7.6696,5.4004,5.4004,5.9512,5.8278,6.718,5.2898,3.162,1.0
cy79-p4-CD45-pos-PD1-pos-B07-S307-comb,0.0,7.5589,0.0,7.4371,0.0,0.0,0.0,6.9651,0.0,0.0,5.4393,4.0536,0.0,0.0,0.0,0.0,0.0,0.0,8.1978,6.3546,1.0
cy79-p4-CD45-pos-PD1-pos-C01-S313-comb,0.0,7.6301,5.1725,8.4833,0.0,7.0276,0.0,0.0,9.0617,6.7612,0.0,7.6274,0.0,4.9634,4.9634,7.5651,7.0405,7.5065,7.8573,0.0,1.0
cy74-CD45-pos-A12-S684-comb,4.8848,0.0,5.9722,0.0,6.9749,5.9552,5.647,6.9198,8.6743,6.011,0.0,7.6324,6.5812,0.0,0.0,8.5382,2.8679,0.0,5.8681,0.0,1.0
cy80-CD45-pos-PD1-pos-E05-S149-comb,5.5718,0.0,5.0676,3.168,0.0,0.0,0.0,5.4666,0.0,0.0,5.5014,7.9828,0.0,0.0,0.0,0.0,4.6715,0.0,6.2027,0.0,1.0
cy72-CD45-pos-H11-S959-comb,0.0,8.6303,0.0,7.209,0.0,0.0,0.0,8.0898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.07,7.587999999999999,1.0
cy58-1-CD45-pos-D08-S620-comb,9.0035,7.8231,7.184,5.805,8.3864,4.6456,0.0,3.6021,8.8731,6.1424,0.0,8.7733,7.5321,4.8909,4.8909,6.9212,7.7217,7.7087,7.9458,0.0,1.0
cy72-CD45-pos-C08-S896-comb,0.0,9.0095,0.0,8.6049,0.0,0.0,8.2811,5.8042,0.0,0.0,0.0,2.8063,0.0,0.0,0.0,5.2493,6.1469,5.814,9.0014,7.615,1.0
cy82-CD45-pos-2-B09-S501-comb,0.0,0.0,7.5513,7.9816,8.6152,0.0,0.0,5.4079,3.4481,0.0,0.0,9.7915,9.3591,0.0,0.0,7.3287,0.0,0.0,6.3094,0.0,1.0
cy80-CD45-pos-PD1-pos-F11-S167-comb,0.0,0.0,5.0276,3.0009,8.3531,8.5387,0.0,7.2035,9.3248,7.1661,0.0,6.4153,7.3118,5.9587,5.9587,0.0,6.9667,4.1506,3.6361,4.0842,1.0
cy58-1-CD45-pos-F12-S648-comb,0.0,6.6198,0.0,7.0061,8.1602,0.0,0.0,6.8927,0.0,0.0,7.6964,7.5572,0.0,0.0,0.0,0.0,0.0,0.0,1.4952,3.3810000000000002,1.0
cy74-CD45-pos-E12-S732-comb,0.0,8.2598,0.0,9.2252,6.3627,7.5171,6.2924,1.515,7.0307,5.1868,0.0,7.0943,7.6874,0.0,0.0,6.212000000000001,0.0,0.0,0.0,1.1583,1.0
cy72-CD45-pos-B07-S883-comb,0.0,7.5456,0.0,8.2611,0.0,0.0,7.5148,7.0014,0.0,0.0,7.8997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3711,6.3467,1.0
cy53-1-CD45-pos-2-H06-S1050-comb,0.0,8.4263,0.0,4.8657,7.5347,11.421,6.2689,6.8207,10.044,6.9579,0.0,5.8802,0.0,7.0175,7.0175,0.0,9.1157,7.2231,5.3498,0.0,1.0
