,PMEL,SERPINA3,TMSB4X,IFITM1,APOD,MIA,SPP1,DCT,IFI27,CD74,A2M,MT2A,DUSP1,ANXA1,APOC2,FOS,SERPINE2,IGFBP7,TM4SF1,CAPN3,group
Cy71_CD45_D08_S524_comb,8.7935,0.0,0.0,0.0,0.0,0.0,0.0,6.9888,4.3542,3.444,0.0,0.0,0.64893,0.0,0.0,7.0523,3.6037,5.4685,0.0,8.1209,2.0
Cy81_FNA_CD45_B01_S301_comb,0.0,7.9262,0.0,7.2682,4.295,4.3611,4.0053,0.0,0.0,0.0,6.3873,8.1786,6.3038,5.0647,0.0,4.8679,8.327,0.0,6.0876,0.0,2.0
Cy80_II_CD45_B07_S883_comb,9.2967,7.4872,0.0,6.899,8.7769,5.8392,0.0,0.0,6.0101,0.0,0.0,6.0699,5.3565,5.7382,2.6613,6.5036,8.007,4.486000000000001,5.6527,5.8628,2.0
Cy81_Bulk_CD45_B10_S118_comb,0.0,6.3451,4.5621,7.5923,0.0,6.3885,3.9163,0.9876799999999999,0.0,0.0,5.3911,8.1121,6.2087,4.8462,0.0,5.6272,7.6138,2.6754,5.018,0.0,2.0
Cy71_CD45_B05_S497_comb,7.5117,0.0,4.6746,4.4787,0.0,0.0,2.5573,3.7673,5.6004,0.0,2.8398,6.8645,6.4466,6.9912,3.5185,5.9437,6.2101,0.0,0.0,6.8708,2.0
Cy80_II_CD45_C09_S897_comb,8.2608,4.9392,7.5172,5.4196,6.2662,5.367000000000001,0.0,0.0,3.4558,0.0,3.3672,8.0204,0.0,8.2046,2.8313,4.4371,11.089,0.61542,0.0,4.7682,2.0
Cy81_FNA_CD45_E05_S341_comb,0.0,7.2631,0.0,8.304,6.586,5.835,6.4964,0.0,0.0,0.0,6.8189,6.6442,4.0396,6.0068,0.0,3.3559,8.7413,1.8131,4.4557,0.0,2.0
Cy81_Bulk_CD45_E10_S154_comb,0.0,4.8711,6.2626,6.5669,1.0144,7.2549,5.4622,0.0,0.0,2.7405,2.4962,8.7548,7.9973,6.7152,0.0,7.0463,7.0374,0.0,4.9751,0.0,2.0
Cy80_II_CD45_H07_S955_comb,10.162,7.2381,4.434,6.5299,9.6628,7.4972,0.0,0.0,4.8164,0.0,0.92979,7.1385,7.0696,6.6911,0.0,7.0767,9.3929,4.641,2.9809,6.901,2.0
Cy81_FNA_CD45_D09_S333_comb,0.0,5.9749,0.0,7.3557,6.2231,6.0157,7.4761,0.0,0.0,0.0,7.856,6.1348,4.8422,5.5037,0.0,3.8255,9.3798,0.0,6.7024,0.0,2.0
Cy71_CD45_E12_S540_comb,5.6999,0.0,2.9653,7.6715,5.2939,0.0,0.0,2.0854,8.4645,0.0,0.0,6.8741,4.9165,6.2862,0.0,8.218,5.7528,0.0,0.0,8.2281,2.0
Cy71_CD45_G02_S554_comb,10.007,0.0,1.7736,7.9065,5.4014,0.0,0.0,5.2934,7.2008,0.0,0.0,4.3805,7.0509,0.0,0.0,9.2907,5.7288,5.8195,0.0,8.7621,2.0
Cy80_II_CD45_H09_S957_comb,10.282,0.0,4.9898,5.1608,8.1471,7.9959,0.0,3.2101,6.1258,1.8524,5.1967,7.1462,3.6765,6.8688,4.3008,3.0093,6.6109,3.2941,3.6972,5.1087,2.0
Cy80_II_CD45_B11_S887_comb,9.9168,4.6930000000000005,4.9484,4.6971,7.7885,7.105,0.0,0.0,4.365,1.4947,3.6021,7.6543,0.0,7.4368,0.0,4.2192,10.493,1.4668,0.0,6.9346,2.0
Cy81_Bulk_CD45_E04_S148_comb,0.0,6.3254,3.3732,6.5116,0.0,6.1073,5.5608,0.0,0.0,2.9697,5.818,7.9918,7.4562,3.9133,0.0,6.6146,7.3825,0.0,5.5537,0.0,2.0
Cy80_II_CD45_D11_S911_comb,8.7949,0.0,4.1001,6.5217,4.702,6.3054,0.0,5.2386,4.8125,0.0,0.0,5.7556,5.3874,5.0205,4.3011,5.765,7.3516,5.1536,5.377999999999999,6.222,2.0
Cy81_FNA_CD45_G10_S370_comb,0.0,5.6798,5.224,0.0,5.2327,6.7662,5.7673,0.0,0.0,0.0,6.6248,6.9625,6.2962,5.4704,0.0,0.0,8.8427,4.2719,5.9017,0.0,2.0
Cy71_CD45_E11_S539_comb,7.9146,0.0,0.0,4.2262,2.8939,3.7783,0.0,5.7808,6.2778,0.0,0.0,6.156000000000001,0.0,6.6841,0.0,6.9401,4.2408,0.0,0.0,6.7848,2.0
Cy81_FNA_CD45_C09_S321_comb,0.0,6.608,0.0,7.8056,5.5947,6.2716,5.8442,0.0,0.0,3.8778,6.2409,8.1077,6.0584,5.7945,0.0,4.488,7.711,0.0,7.071000000000001,4.0514,2.0
Cy80_II_CD45_G07_S943_comb,9.0137,3.5663,0.0,4.4564,7.8461,7.6821,0.0,0.0,6.0312,0.0,0.0,8.5486,2.9484,6.377000000000001,3.4954,6.0309,7.2791,5.6798,5.2314,3.8855,2.0
Cy71_CD45_G08_S560_comb,3.8655,0.0,4.828,4.6161,0.0,0.0,0.0,0.0,6.8487,0.0,5.5181,6.5112,0.0,7.5527,0.0,5.9622,0.0,2.5140000000000002,0.0,6.6531,2.0
Cy71_CD45_F06_S546_comb,3.6541,0.0,0.0,4.2185,4.7845,0.0,0.0,5.3057,7.0746,0.0,0.0,0.0,0.0,5.2725,0.0,0.0,5.952000000000001,4.421,0.0,5.9401,2.0
Cy81_Bulk_CD45_D01_S133_comb,0.0,2.6717,0.0,6.7151,4.1758,0.63413,6.369,0.0,0.0,0.0,6.3437,9.0241,7.4176,4.2967,0.0,5.976,8.9059,0.0,7.7458,0.0,2.0
Cy81_Bulk_CD45_D10_S142_comb,0.0,6.2343,4.4352,7.3359,3.6066,5.7543,4.5922,0.30918,0.0,2.0072,6.3394,8.5716,7.7985,5.4915,0.0,7.1512,7.2882,0.0,5.4114,2.6689999999999996,2.0
Cy81_FNA_CD45_C05_S317_comb,0.0,6.4253,0.0,7.5035,3.9855,5.7891,9.6572,0.0,0.0,0.0,7.4414,7.9216,9.0009,5.6857,0.0,2.8276,8.9557,0.0,5.9653,0.0,2.0
Cy80_II_CD45_B01_S877_comb,9.9087,0.0,4.9975,4.5494,8.4854,7.8041,0.0,4.7169,2.2363,2.8104,4.0843,6.0617,0.0,4.9412,7.1294,0.0,7.9466,4.0142,0.0,5.4591,2.0
Cy81_Bulk_CD45_G12_S180_comb,0.0,7.1582,3.1835,8.4223,5.0498,5.7995,5.6434,0.0,0.0,0.7476,6.3948,8.9658,8.339,5.0275,0.0,7.3167,8.4206,0.0,6.1122,0.0,2.0
Cy81_FNA_CD45_F02_S350_comb,0.0,4.3158,3.7092,4.375,3.5612,7.3003,3.4610000000000003,0.0,0.0,0.0,6.2688,8.5707,3.6566,6.5342,0.0,0.0,8.0199,0.0,3.9788,0.0,2.0
Cy71_CD45_H06_S570_comb,0.0,0.0,0.0,4.2332,1.5261,0.0,0.0,3.4206,7.4293,0.0,0.0,5.3233,5.5658,4.8379,0.0,7.0132,0.0,4.005,0.0,6.6657,2.0
Cy80_II_CD45_B09_S885_comb,9.9726,0.0,0.0,3.1749,6.3464,6.9674,0.0,0.0,3.2027,2.2708,3.1998,5.0578,5.8384,5.7627,4.5042,6.1317,8.3984,4.12,0.0,5.7368,2.0
Cy81_FNA_CD45_H12_S384_comb,1.1309,7.327999999999999,0.0,8.0978,6.266,7.172999999999999,6.0292,0.0,0.0,0.0,6.6523,8.9839,6.0017,5.9784,0.0,4.3693,8.7965,1.6875,5.4513,1.4885,2.0
Cy81_Bulk_CD45_E08_S152_comb,0.0,5.2529,2.6093,3.1848,6.1515,7.1399,5.1218,0.0,0.0,0.0,6.2555,9.016,7.8463,4.9758,0.0,4.7152,8.0308,0.0,5.5986,0.0,2.0
Cy80_II_CD45_G09_S945_comb,7.0267,0.0,3.8541,0.0,0.0,5.1591,0.0,3.4189,4.0979,0.0,0.0,5.6766,0.0,7.4604,0.0,6.9183,9.6654,0.0,0.0,3.8802,2.0
Cy80_II_CD45_D09_S909_comb,7.8974,5.4939,4.9542,8.4949,7.6349,5.0634,0.0,2.9598,5.9253,0.0,4.6476,6.9305,4.6729,6.1596,0.0,6.3545,8.1488,4.4191,0.0,3.7709,2.0
Cy71_CD45_D11_S527_comb,0.0,0.0,2.7403,4.0684,4.5039,0.0,3.8151,0.0,6.9817,0.0,4.5289,4.2835,6.3339,5.9019,0.0,7.4905,5.6668,0.0,0.0,3.2737,2.0
Cy81_Bulk_CD45_B09_S117_comb,6.1489,7.39,5.7471,7.1054,4.2415,6.1929,5.5588,4.2871,5.153,0.68975,6.6805,8.7921,8.9081,7.6589,0.0,6.8723,7.653,0.0,7.0903,2.158,2.0
Cy71_CD45_G09_S561_comb,1.1648,0.0,0.0,7.8408,0.0,0.0,0.0,0.0,5.5036,0.0,0.0,6.4046,5.903,3.2555,0.0,4.1902,4.1718,0.0,0.0,0.0,2.0
Cy71_CD45_F11_S551_comb,0.0,0.0,0.0,5.3853,4.5079,4.8869,0.0,0.0,7.9006,0.44361000000000006,1.6857,5.567,0.0,7.4692,0.0,0.0,2.8665,0.0,0.0,6.6789,2.0
Cy81_FNA_CD45_B10_S310_comb,0.0,5.7961,0.0,7.0808,4.9108,4.8803,6.2925,0.0,0.0,0.0,7.3247,8.9041,5.922000000000001,6.3574,0.0,0.0,6.6985,0.0,5.281000000000001,0.0,2.0
Cy71_CD45_H10_S574_comb,0.0,0.0,0.0,0.0,5.5452,0.0,0.0,7.2949,6.6457,0.0,0.0,0.0,5.9664,0.0,0.0,7.6044,1.7828,0.0,0.0,6.6984,2.0
Cy81_Bulk_CD45_C06_S126_comb,0.0,7.7641,0.0,8.307,4.4513,0.0,8.3469,0.0,0.0,0.0,6.7928,9.5819,7.7469,6.2757,0.0,8.3002,8.0738,0.0,6.6223,0.0,2.0
Cy81_FNA_CD45_H10_S382_comb,0.0,8.1597,1.177,9.5751,5.5629,6.2128,0.0,0.0,0.0,0.0,6.8496,9.6239,0.0,5.5567,0.0,0.0,8.2684,4.4605,6.5699,0.0,2.0
Cy80_II_CD45_B02_S878_comb,9.4557,0.0,4.7561,8.0925,8.4624,7.0776,0.0,0.0,6.1109,3.0068,0.0,7.4654,0.0,4.1479,4.7556,2.3386,7.3204,4.3784,4.2572,6.6866,2.0
Cy81_FNA_CD45_B11_S311_comb,0.0,6.5461,0.0,6.8362,4.2887,6.0428,5.7725,0.0,0.0,0.0,3.7422,8.0093,4.3006,5.5005,0.0,0.0,8.5766,4.5708,7.265,4.4313,2.0
Cy81_Bulk_CD45_B12_S120_comb,0.0,0.0,4.1818,6.4232,3.213,6.9719,2.9899,0.0,0.0,0.0,4.8295,6.8532,7.9922,3.2288,0.0,7.7651,7.781000000000001,0.0,4.8261,4.6082,2.0
Cy71_CD45_A10_S490_comb,7.6247,0.0,0.0,3.167,1.7689,0.0,0.0,4.9313,6.5617,0.0,0.0,5.7541,6.9249,5.4299,0.0,7.6766,4.9033,3.0412,0.0,7.5275,2.0
Cy80_II_CD45_F12_S936_comb,8.8316,7.7926,4.1333,6.2467,8.3971,7.0589,0.7621399999999999,0.0,5.3764,2.1741,6.6516,8.9865,3.0185,6.7603,4.8511,6.2197,8.9219,6.053,7.4681,6.2213,2.0
Cy81_Bulk_CD45_B01_S109_comb,0.0,8.1792,0.0,9.2347,0.0,0.71282,6.376,0.0,0.0,0.0,2.8104,10.527000000000001,4.9585,0.0,0.0,7.2924,8.3482,0.0,7.3265,0.0,2.0
Cy80_II_CD45_B06_S882_comb,8.0751,4.9527,0.0,5.6898,8.8164,6.1143,0.0,0.69421,5.4706,1.0841,7.1089,8.6449,3.1299,5.6702,4.4729,5.599,8.3947,4.8432,4.8193,5.8556,2.0
Cy71_CD45_F10_S550_comb,0.0,0.0,0.0,6.3455,4.1606,0.0,0.0,3.1587,6.8464,0.0,0.0,4.9227,4.538,4.4402,0.0,5.6736,4.2203,3.5552,0.0,6.5766,2.0
Cy71_CD45_D09_S525_comb,9.0303,0.0,0.0,6.9435,6.103,0.0,0.0,8.6871,7.5505,0.0,0.0,0.0,0.0,4.622,0.0,6.9514,0.0,0.0,0.0,8.4061,2.0
Cy80_II_CD45_F07_S931_comb,10.163,3.9505,3.4746,5.1947,8.5109,6.5849,0.0,0.0,5.8063,4.1538,3.8905,7.7883,6.2948,3.5912,2.7403,5.7620000000000005,7.3006,4.2034,0.0,7.1814,2.0
Cy71_CD45_E10_S538_comb,7.9218,0.0,0.0,4.9097,0.0,0.0,0.0,5.8409,6.7481,0.0,0.0,6.2785,6.5323,5.5157,0.0,8.1563,0.0,0.0,0.0,8.1331,2.0
Cy80_II_CD45_B12_S888_comb,11.048,0.0,0.0,6.6609,6.8105,5.1321,0.0,3.7058,0.0,0.0,0.0,5.685,5.7072,0.0,3.3771,4.4236,7.3274,4.1076,0.0,7.0248,2.0
Cy80_II_CD45_A09_S873_comb,9.5025,0.0,6.0838,5.8612,6.3828,8.4784,0.0,1.5563,6.0245,0.0,0.0,6.5191,4.0061,5.6845,5.7373,6.0991,5.657,5.9169,0.0,5.5844,2.0
Cy80_II_CD45_F11_S935_comb,10.224,0.0,6.0743,4.5194,6.1091,6.6391,0.0,2.5145,3.6757,0.0,3.8439,4.1135,3.5575,5.6699,0.0,4.4444,8.3433,4.0119,2.3428,6.4667,2.0
Cy81_Bulk_CD45_E03_S147_comb,0.0,8.5111,2.1944,8.7799,1.2528,6.2899,2.4238,3.4542,0.0,0.0,5.442,8.9933,9.3567,5.1456,0.0,8.64,7.1064,0.0,6.0867,0.0,2.0
Cy80_II_CD45_D04_S904_comb,9.956,0.0,0.0,5.9864,5.3945,6.4975,0.0,4.2147,3.7469,4.4331,4.9071,6.9148,2.2013,4.4762,5.9785,4.1947,6.4708,4.3304,4.9157,4.7358,2.0
Cy71_CD45_B12_S504_comb,7.0724,0.0,0.0,7.8075,4.996,0.0,0.0,7.037999999999999,4.9076,0.0,0.0,0.0,0.0,0.0,0.0,6.8712,0.0,4.9973,0.0,6.3593,2.0
Cy81_Bulk_CD45_A11_S107_comb,0.0,7.1203,0.0,7.9248,2.639,6.3624,5.1998,0.0,0.0,0.78325,1.8359,9.617,0.0,5.5181,0.0,0.0,7.5998,0.2558,5.1409,0.0,2.0
Cy71_CD45_E02_S530_comb,6.4095,0.0,0.0,6.0663,3.7653,0.0,0.0,1.3063,8.1036,1.0172,0.0,5.8368,4.6668,0.0,0.0,7.6663,3.8269,0.0,0.0,6.7207,2.0
Cy71_CD45_B03_S495_comb,10.095,0.0,0.0,7.0837,4.695,0.0,0.0,8.0155,7.7778,0.0,0.0,0.0,7.29,5.7436,0.0,8.6199,4.2923,6.3635,0.0,8.81,2.0
Cy81_FNA_CD45_C08_S320_comb,0.77737,5.7002,0.0,8.4195,3.8084,4.5988,5.9637,0.0,0.0,0.0,0.0,5.8218,0.0,2.6792,0.0,0.0,7.3721,0.0,0.0,6.0626,2.0
Cy81_Bulk_CD45_C05_S125_comb,0.0,7.5535,5.8358,4.1595,0.0,4.9119,0.0,0.0,0.0,0.0,5.6819,8.5283,0.0,0.0,0.0,6.5097,5.7959,0.0,1.3646,0.0,2.0
Cy71_CD45_F01_S541_comb,7.3126,0.0,0.0,0.0,2.6422,0.0,0.0,7.1437,6.8353,0.0,0.0,0.0,5.4358,0.0,0.0,7.6909,2.8215,0.0,0.0,7.8262,2.0
Cy81_Bulk_CD45_B04_S112_comb,0.0,8.0249,0.0,8.2208,4.4544,5.1294,4.1341,0.0,0.0,0.0,7.9507,8.6448,8.8679,5.7655,0.0,8.4882,8.5992,0.0,6.3513,0.0,2.0
Cy71_CD45_G05_S557_comb,7.5075,0.0,3.3554,4.7751,2.5629,0.0,0.0,4.3051,5.9804,2.3838,0.0,5.4879,5.5376,5.9029,0.0,5.359,3.0719,4.3685,0.0,3.2711,2.0
Cy81_FNA_CD45_F03_S351_comb,0.0,5.8186,3.0542,8.1367,5.0649,4.9558,4.0295,0.0,0.0,0.0,6.6342,8.404,7.3393,5.7644,0.0,0.0,8.5496,0.0,6.6003,0.0,2.0
Cy81_Bulk_CD45_B05_S113_comb,0.0,6.382000000000001,0.0,6.6905,4.321000000000001,7.0229,4.6762,0.0,0.0,0.0,3.9968,8.9088,6.9893,5.6912,0.0,6.4188,6.7533,2.5238,4.5293,0.0,2.0
Cy71_CD45_F07_S547_comb,6.8064,0.0,0.0,5.1948,3.6587,0.0,0.0,7.0382,7.1253,0.0,0.0,4.1032,0.0,0.0,0.0,5.3467,0.0,1.8428,0.0,7.0618,2.0
Cy80_II_CD45_C02_S890_comb,10.738,0.0,3.0669999999999997,5.7482,6.692,6.055,0.0,3.5672,5.4787,1.516,3.5364,7.3469,6.2812,4.8001,4.9517,5.9346,7.8231,5.1784,4.1068,5.2834,2.0
Cy80_II_CD45_F01_S925_comb,9.9226,0.0,0.0,7.0993,8.2145,7.3394,0.0,0.0,4.4205,0.0,4.4376,5.5172,0.0,0.0,0.0,5.1194,9.1194,0.0,0.0,6.6695,2.0
Cy80_II_CD45_E01_S913_comb,9.0546,8.094,4.0144,6.4417,8.7315,7.1707,0.0,0.0,5.6657,0.0,2.8373,9.2834,4.1657,3.7182,0.0,5.7686,8.4622,1.0704,0.0,7.0896,2.0
Cy81_FNA_CD45_B02_S302_comb,0.0,7.6031,0.0,8.3558,2.0697,4.6101,0.0,0.0,0.0,0.0,5.7504,9.161,6.1307,6.9145,0.0,5.4262,8.2076,0.0,2.8584,0.0,2.0
Cy81_FNA_CD45_F07_S355_comb,0.0,7.2884,0.0,6.747999999999999,6.881,7.1431,8.4613,0.0,0.0,0.0,7.742000000000001,9.4481,5.6683,4.3262,0.0,0.0,9.1891,0.0,5.4197,0.0,2.0
Cy80_II_CD45_H11_S959_comb,7.9395,7.9029,5.4884,7.6555,7.8011,7.1755,0.0,0.0,6.3383,4.5033,1.6785,8.6208,0.0,7.4527,6.4032,0.0,9.0965,3.0888,3.767,0.0,2.0
Cy81_FNA_CD45_E04_S340_comb,0.0,8.8532,0.0,8.1931,5.2177,5.6194,2.3280000000000003,0.0,0.0,0.0,5.5349,9.6216,7.6684,6.957999999999999,0.0,1.4005,8.8229,0.0,6.7254,0.0,2.0
Cy81_FNA_CD45_H09_S381_comb,0.0,6.9906,0.0,8.0729,8.3988,7.3894,5.6254,0.0,0.0,0.0,4.2203,8.4721,0.0,2.2045,0.0,0.0,9.5572,0.0,6.0093,0.0,2.0
Cy80_II_CD45_A01_S865_comb,9.9147,7.0383,5.4763,5.8616,8.7716,5.8968,0.0,0.0,4.9313,6.3274,3.0377,7.9782,0.0,5.9099,4.169,6.1399,8.1116,3.7908,0.0,7.1357,2.0
Cy81_Bulk_CD45_F12_S168_comb,0.0,4.1621,1.8867,7.519,6.999,6.4769,4.4778,0.0,0.0,0.0,6.0611,7.9841,7.6067,6.4306,0.0,7.0587,8.6816,0.0,6.7025,4.3216,2.0
Cy71_CD45_E06_S534_comb,6.1865,0.0,0.0,0.0,0.0,3.07,0.0,3.6212,4.2755,0.0,0.0,5.4043,0.0,7.6423,0.0,5.5953,4.6207,0.0,0.0,6.1259,2.0
Cy71_CD45_C12_S516_comb,6.8183,0.0,2.4396,4.4534,4.3099,0.0,0.0,5.4682,6.2188,0.0,0.42116000000000003,5.7827,5.3926,4.9179,0.0,3.1523,5.8486,4.9963,0.0,6.1114,2.0
Cy71_CD45_A06_S486_comb,3.9912,0.0,2.2336,0.0,0.0,0.0,0.0,3.5579,5.1182,0.0,3.1747,6.939,2.9387,5.8365,0.0,6.0491,5.0643,0.0,0.0,6.9099,2.0
Cy80_II_CD45_E11_S923_comb,10.536,0.0,3.1609,6.5119,7.4226,6.4767,0.0,0.94935,3.1144,0.0,2.3303,7.5083,5.2787,2.5251,1.4125,4.453,8.1102,3.1755,0.0,6.928999999999999,2.0
Cy71_CD45_C09_S513_comb,7.7024,0.0,2.3885,7.2786,4.5935,0.0,0.5733699999999999,7.7654,7.7004,3.259,0.0,4.6108,5.8341,4.8039,0.0,6.0765,0.0,3.38,0.0,8.1434,2.0
Cy71_CD45_E05_S533_comb,8.4961,0.0,0.0,6.4262,5.6557,0.0,0.0,4.7732,7.3135,0.0,3.7889999999999997,7.4499,3.9284,5.4949,0.0,6.7284,5.388,0.0,0.0,7.7344,2.0
Cy81_Bulk_CD45_A08_S104_comb,0.0,7.0642,0.0,9.2062,5.6024,7.8976,5.7281,0.0,0.0,0.0,5.6335,8.7536,0.0,8.446,0.0,7.4436,7.1586,0.0,6.7465,0.0,2.0
Cy71_CD45_H12_S576_comb,6.6301,0.0,8.4221,6.0505,5.331,0.0,0.0,5.558,0.0,6.2069,2.4481,5.9843,0.0,4.0513,0.0,6.1279,4.914,0.0,0.0,6.4467,2.0
Cy80_II_CD45_E08_S920_comb,8.9951,0.0,4.9259,8.8728,9.4866,8.2149,0.0,0.0,5.4852,0.0,3.5161,6.7838,0.0,6.1165,0.0,6.9576,9.1694,2.9364,0.0,7.4856,2.0
Cy81_FNA_CD45_H05_S377_comb,0.0,0.0,0.0,0.0,0.0,7.4588,3.6693,0.0,0.0,0.0,4.4191,8.3588,5.404,4.4915,0.0,0.0,8.2742,0.0,4.7872,0.0,2.0
Cy81_FNA_CD45_D12_S336_comb,0.0,7.2213,1.6457,5.2345,6.5877,6.1082,5.2394,0.0,0.0,0.96199,8.0505,7.9844,8.0755,4.5775,0.0,6.1767,7.9811,0.0,5.1515,3.3169999999999997,2.0
Cy71_CD45_A07_S487_comb,6.4461,0.0,0.0,8.7293,5.5644,0.0,0.0,6.4827,7.912000000000001,0.0,0.0,7.7641,4.7555,5.6474,0.0,5.8922,5.7896,1.5519,0.0,8.2352,2.0
Cy71_CD45_G11_S563_comb,4.4048,0.0,2.2645,0.0,0.0,0.0,1.2792,3.0479,0.0,0.0,0.0,5.0291,4.0513,3.7361,0.0,7.2884,4.8478,0.0,0.0,0.0,2.0
Cy81_Bulk_CD45_F05_S161_comb,0.0,6.6248,6.1891,7.3939,8.023,6.0922,8.3458,0.0,0.0,0.62387,7.3794,8.008,6.4363,6.9066,0.0,4.6702,8.9593,0.0,6.9071,0.0,2.0
Cy81_Bulk_CD45_D08_S140_comb,0.0,5.9035,0.0,7.3989,0.0,6.2047,5.9906,0.0,0.0,0.0,5.7025,7.8835,7.9729,6.1,0.0,7.9184,8.2836,0.0,4.8352,0.0,2.0
Cy81_FNA_CD45_B04_S304_comb,0.0,7.3674,0.0,9.064,3.2848,6.3832,0.0,0.0,0.0,0.0,6.0261,8.9101,4.8059,5.9461,0.0,2.437,9.0639,0.0,5.7522,0.0,2.0
Cy80_II_CD45_H12_S960_comb,9.3424,6.8251,6.3086,6.5033,8.4045,6.0853,0.0,0.0,5.6838,3.4649,4.6785,8.4175,5.6958,4.4897,0.0,4.4177,8.5326,3.8607,3.2889,3.6868,2.0
Cy81_FNA_CD45_H01_S373_comb,0.0,8.3724,1.6586,9.0752,5.6427,5.5804,5.443,0.0,0.0,0.0,7.4633,8.0555,5.7738,4.2887,0.0,4.1028,9.2117,0.0,6.8632,0.0,2.0
Cy71_CD45_C07_S511_comb,9.5167,0.0,0.0,9.0302,5.75,0.0,0.0,6.4247,7.8262,5.8042,0.0,6.0974,5.4883,4.8722,0.0,6.0843,0.0,6.0802,0.0,6.1726,2.0
Cy81_Bulk_CD45_A12_S108_comb,0.0,6.8609,6.1136,8.0344,5.2157,6.672000000000001,6.6013,2.3414,1.1661,3.8732,6.2301,8.2923,7.3622,5.9853,0.0,6.5146,7.9371,2.3838,6.2882,3.1179,2.0
Cy80_II_CD45_A06_S870_comb,8.7642,4.5006,0.0,5.9995,8.6559,7.9219,0.0,0.6461600000000001,4.5394,3.3109,2.2708,8.9157,0.0,2.9405,5.2547,0.0,9.1179,3.8303,3.9101,4.5503,2.0
Cy81_Bulk_CD45_E06_S150_comb,0.0,6.7355,2.657,7.8542,0.0,5.5591,0.48749,0.0,0.0,0.0,3.7701,8.4311,8.4684,5.886,0.0,7.841,6.6911,0.0,4.1707,0.0,2.0
Cy81_Bulk_CD45_A02_S98_comb,0.0,1.9891,0.0,9.383,0.0,0.0,0.0,0.0,0.0,0.0,2.6302,9.6626,0.0,7.7129,0.0,6.2355,2.6958,0.0,4.4647,0.0,2.0
Cy71_CD45_C10_S514_comb,4.9976,0.0,2.3545,0.0,4.3919999999999995,0.0,0.0,5.5618,4.2279,0.0,0.0,4.4269,5.7656,0.0,0.0,7.19,5.5588,1.0377,0.0,6.6114,2.0
Cy81_Bulk_CD45_D06_S138_comb,0.0,7.6172,6.0342,8.5432,4.143,4.5347,4.6962,0.0,0.0,0.0,7.1269,8.6251,8.75,4.6369,0.0,8.6665,8.7878,0.0,5.1513,0.0,2.0
Cy71_CD45_C02_S506_comb,0.0,0.0,3.3986,4.5959,0.0,0.0,0.0,7.3989,7.2163,0.56462,0.0,0.0,4.6026,0.0,0.0,7.0697,0.35502,0.68077,0.0,6.0132,2.0
Cy71_CD45_F08_S548_comb,7.279,0.0,0.0,7.835,5.0734,0.0,0.0,7.121,6.5227,1.7765,0.0,3.5078,3.5263,1.1998,0.0,7.3371,3.4205,0.0,0.0,6.7115,2.0
Cy71_CD45_C04_S508_comb,7.042999999999999,0.0,0.0,6.5139,0.0,0.0,0.0,5.8303,7.0855,0.0,0.28688,3.7824,0.0,0.0,0.0,5.5282,3.6979,5.541,0.0,5.0245,2.0
Cy81_FNA_CD45_D11_S335_comb,0.0,7.028,0.0,4.6522,7.901,6.6349,5.4573,0.0,0.0,0.0,7.2467,8.1046,6.7484,6.2065,0.0,5.8956,8.9663,0.0,0.0,5.3781,2.0
Cy71_CD45_H04_S568_comb,5.2995,0.0,0.0,0.0,3.3451,0.0,0.0,3.8759,6.1112,0.0,3.7237,6.0608,6.2348,5.9303,0.0,7.4079,4.1248,0.0,0.0,7.2399,2.0
Cy81_FNA_CD45_C10_S322_comb,0.0,7.5943,0.0,8.6738,5.4707,6.6053,10.152000000000001,0.0,0.0,0.0,7.3294,8.9516,4.7989,4.2077,0.0,5.0245,8.5481,0.0,0.57725,0.0,2.0
Cy71_CD45_D01_S517_comb,9.4936,0.0,5.6153,7.36,2.6422,4.0098,0.0,7.2528,4.8979,2.6767,0.0,5.0552,4.8749,3.9256,0.0,6.8391,3.1038,3.9969,0.0,1.9328,2.0
Cy71_CD45_B09_S501_comb,9.8159,0.0,0.0,8.9963,0.0,0.0,0.0,8.9344,8.7658,0.0,0.0,6.447,5.2183,0.0,0.0,6.2215,0.0,4.7894,0.0,7.3456,2.0
Cy81_Bulk_CD45_G06_S174_comb,0.0,6.4871,5.5779,8.3948,5.169,5.6439,5.3914,0.0,0.0,0.0,6.1544,9.8199,10.046,6.5766,0.0,8.9522,7.3644,0.0,6.2929,0.0,2.0
Cy71_CD45_H11_S575_comb,0.0,0.0,0.0,0.0,1.8953,0.0,0.0,6.6419,4.8617,0.0,0.0,0.0,3.0507,4.3518,0.0,7.3498,1.8828,0.0,0.0,7.4419,2.0
Cy71_CD45_D06_S522_comb,0.0,0.0,0.0,8.1961,4.3285,0.0,0.0,5.9167,7.5637,0.0,0.0,5.3547,7.1157,4.0156,0.0,7.3942,0.0,3.7803,0.0,6.8613,2.0
Cy80_II_CD45_C08_S896_comb,10.469000000000001,0.0,2.2892,5.261,10.112,8.9402,0.0,0.0,3.2863,3.6211,2.9786,7.7125,3.1373,4.1123,7.3701,6.2204,9.4896,5.5754,4.8304,4.4928,2.0
Cy71_CD45_H01_S565_comb,9.3561,0.0,0.0,7.3757,7.0872,0.0,0.0,0.0,9.141,0.0,0.0,7.7487,3.1129,0.0,0.0,8.0394,5.7986,3.3058,0.0,7.0831,2.0
