,PMEL,SERPINA3,TMSB4X,IFITM1,APOD,MIA,SPP1,DCT,IFI27,CD74,A2M,MT2A,DUSP1,ANXA1,APOC2,FOS,SERPINE2,IGFBP7,TM4SF1,CAPN3,group
cy79-p5-CD45-neg-PDL1-neg-F05-S833-comb,10.747,7.31,2.8536,0.0,11.318,8.0776,7.7215,0.0,7.587999999999999,0.0,7.1087,8.3238,5.0437,4.2705,6.7363,9.2477,8.3157,2.9193,7.1967,6.9338,2.0
cy80-CD45-neg-B01-S877-comb,10.405,4.1657,5.4092,6.6492,8.8127,7.292000000000001,0.0,3.0383,4.3815,1.544,3.947,6.6214,4.2394,0.0,0.0,5.1318,8.0411,5.1229,0.8749899999999999,7.5714,2.0
cy82-CD45-pos-1-E08-S536-comb,0.0,9.7983,7.4092,7.1429,7.7919,9.3908,8.9398,0.0,0.0,3.6821,5.9562,4.3189,6.5452,2.5941,0.0,6.75,6.69,0.0,0.31267,0.0,2.0
cy79-p5-CD45-neg-PDL1-neg-H06-S858-comb,9.3814,2.9407,4.2437,0.0,11.564,9.3308,0.0,0.0,6.9392,3.4312,5.2586,8.8035,3.435,6.5106,6.8744,9.3255,8.3507,0.0,6.8394,7.7079,2.0
cy79-p4-CD45-neg-PDL1-neg-A03-S1059-comb,11.293,6.6256,0.0,0.0,8.156,7.2694,7.1578,0.0,6.2484,0.0,7.78,9.736,0.80074,6.7935,8.2323,6.8599,9.5154,6.2469,5.5749,6.6315,2.0
cy79-p5-CD45-neg-PDL1-neg-H10-S862-comb,10.31,10.065,0.0,0.0,10.787,9.7352,5.3135,0.0,6.1622,0.0,8.047,8.2126,0.0,7.2459,5.4289,5.454,11.402999999999999,0.0,5.205,7.4347,2.0
cy80-CD45-neg-C09-S897-comb,6.2263,0.0,3.4623,6.3908,6.4986,7.2836,0.0,1.715,5.4623,2.3852,6.0736,7.6504,6.722,4.0562,4.5797,7.5144,7.5568,4.1011,2.5266,5.8127,2.0
cy79-p5-CD45-neg-PDL1-pos-E03-S723-comb,9.2871,6.2804,0.0,0.0,10.269,7.9814,6.9285,1.4947,7.8151,0.0,8.1294,7.7819,7.794,7.3993,6.2695,9.5939,8.3231,4.8784,5.6656,8.5294,2.0
cy79-p4-CD45-neg-PDL1-pos-C12-S420-comb,10.628,4.8998,5.17,0.0,7.6532,7.7628,5.3935,0.0,6.4214,0.0,5.9919,5.659,1.0165,5.5677,5.9225,3.4026,9.0687,5.6356,2.5661,6.5973,2.0
cy79-p5-CD45-neg-PDL1-pos-E08-S728-comb,10.783,0.0,0.0,0.0,8.4051,7.8815,5.3986,0.0,5.7566,0.0,6.4367,8.529,6.1909,6.5438,7.4641,7.0256,7.6481,3.0381,5.939,8.137,2.0
